Key,Translation,Version,Comment (context for translators)
job.type.Plants,,,
job.type.Plants.help,,,
job.type.Recreation,Recreatie,,
job.type.Repairs,Repareren,,
job.type.Repairs.help,,,
job.type.Rescue,Redden,,
job.type.Research,Onderzoek,,
job.type.SatisfyingNeeds,,,
job.type.SelfMaintenance,,,
job.type.SelfMaintenance.help,,2022-06-14,
job.type.Sleeping,Slapen,,
joined.colony,,,
keep.open,,,Used on a button that forces a door to remain open
known.beings,,,
labor.activity,,,
lacks.oxygen,,,
last.attempt,,,
last.damage.amount,,,
last.damage.location,,,
last.damage.type,,,
last.expedition,Laatste Expeditie: {0},,
last.name,Achternaam,,
last.petted.by,,,"Label for data about when a pet was petted by someone. Will look like ""Last petted by John 2 hours ago"". {0} is name, {1} is ""time ago"""
last.visit,,,
launch,Lanceer,,
launch.expedition,Lanceer Expeditie,,
launch.probe,,,
launching.expedition.to,,,
life.support.level,Levensonderhoud,,
life.support.level.desc,,2022-09-24,
life.support.no.power,,,
light,,,"Noun. Used on a button that opens light source (i.e. lamp) controls, like color, brightness, etc."
link.inactive,,,
link.verb,,,"verb, as in ""create a link"""
linked,,,
load.failed,,,
load.failed.corrupt,,,
load.failed.incompatible,,,
load.save,Laad Spel,,
loading,Inladen…,,
loading.news,Laden van Nieuws…,,
loading.save,<size=200%>{0}</size><br>Opstarten Neuraal Netwerk,,
location,Locatie,,
lock,,,Action verb for a button that locks the door
locked,,,Label for a state that shows that door is locked
log.export.date,Huidige datum: {0},,
log.export.header,,,"A header for game story - a history of everything that happened to the player from the beginning of the game. This story can be exported and shared, etc."
log.export.save_name,Scheepsnaam: {0},,
lonely,Eenzaam,,
long.press.time.tip,,,
longpress.time,,,
lost,Verloren,,"This is used to indicate that something that belongs to your base is stolen or destroyed. For example a space shuttle that flew on an expedition and got destroyed would have ""lost"" marker in it's UI."
low.battery,,,
low.battery.info,,,
make.siren.loud,Geluid: UIT,,
make.siren.silent,Geluid: AAN,,
male,Mannelijk,,
manage,,,
manage.ads.cancel,Annuleer Taken,,
manage.ads.cancel.desc,"Klik op een taak, of sleep een venster over de taken die je wenst te annuleren.",,
manage.ads.priority.decrease,Verlaag Prioriteit,,
manage.ads.priority.decrease.desc,,,
manage.ads.priority.increase,Verhoog Prioriteit,,
manage.ads.priority.increase.desc,,,
manage.ads.retry,,,
manage.ads.retry.desc,,,
manage.energy.node.tip,,,
manual,Manueel,,
manual.survival.meal.content,,,
manual.survival.meal.title,,,
map.size,,,
map.size.too.small,,,
map.size.too.small.desc,,,
market.asset.class,,,
market.asset.class.CFD,,,
market.asset.class.CFD.info,,,
market.asset.class.Equity,,,
market.asset.class.Equity.info,,,
market.avg.price,,,
market.avg.price.info,,,
market.buying,,,"Displayed in a label when the player is buying a stock in the Stock Market. {0} is the stock name. Example: ""Buying: Microsoft"""
market.cost.basis,,,
market.cost.basis.info,,,
market.current.price,Huidige Prijs,,
market.high,Hoog,,
market.high.info,Hoogste prijs ooit geregistreerd voor dit element.,,
market.low,Laag,,
market.low.info,Laagste prijs ooit geregistreerd voor dit element.,,
market.selling,,,
market.volatility,,,
market.volatility.info,,,
market.your.shares,Uw Aandelen,,
mat.composite,,,
mat.composite.desc,,,
mat.energy.output,Energieopbrengst,,
mat.energy.output.desc,,,
mat.nutrient,,,
mat.nutrient.desc,,,
mat.primary,,,
mat.primary.desc,,,
mat.storage.unavailable,Geen Compatibele Opslag Container,,
mat.storage.unavailable.desc,,2022-09-13,
material.BatteryCell,Batterij,,
material.Biowaste,Bioafval,,
material.Bread,Brood,,
material.Carbon,Koolstof,,
material.CarbonFiber,Koolstofvezel,,
material.Coal,Steenkool,,
material.Coffee,Koffie,,
material.CoffeeBeans,Koffiebonen,,
material.Copper,Koper,,
material.CopperPlate,Koperplaat,,
material.Flour,Meel,,
material.Glass,Glas,,
material.Grain,Graan,,
material.haul,Haal materiaal op,,
material.Iron,Ijzer,,
material.lack,Niet genoeg {0},,
material.Lithium,Lithium,,
material.Log,Hout Log,,
material.Microchip,Microchip,,
material.PlantFiber,Plantaardige Vezels,,
material.Protein,Proteïnen,,
material.Quartz,Kwarts,,
material.reservation.details,Actieve reservaties: {0},,
material.reservation.none,Niet gereserveerd,,
material.reserved,Gereserveerd: {0},,
material.Rock,Steen,,
material.Silicon,Silicium,,
material.Soil,Aarde,,
material.Steel,Staal,,
material.Titanium,Titanium,,
material.TitaniumPlate,Titanium Plaat,,
material.Uranium,Uranium,,
material.Water,Water,,
material.Wood,Hout,,
matter.reactor,,,
max.texture.size.too.high,,,
meal.take,,,"order, as in ""Take a meal and go eat it"""
medical.slots,,,
memory.module,,,
memory.module.amount,{0} EB,,
memory.module.builtin,Ingebouwde Geheugenmodule,,
memory.module.unpowered,,,
menu.about,Over,,
menu.asteroids,,,
menu.asteroids.desc,,,
menu.atmosphere,Atmo,2023-08-07,"Must be short, Atmosphere is too long to fit in the button. Can be longer if two short words, so it can break by space in two lines."
menu.atmosphere.desc,,,
menu.back,Terug,,
menu.beds,Bedden,,
menu.beds.desc,Meubilair om te slapen of rusten,,
menu.beings,Wezens,,
menu.beings.desc,"Robots, drones, mensen",,
menu.chairs,Stoelen,,
menu.chairs.desc,Meubilair om te zitten,,
menu.clothing,Kleding,,
menu.clothing.desc,,,
menu.comms,Comms,2023-08-05,"Must be a short word or two short words, as it has little space horizontally but can wrap vertically. 'Communications' is too long."
menu.comms.desc,Communicatie toestellen,,
menu.computing,,,
menu.computing.desc,,,
menu.containers,,,
menu.containers.desc,,,
menu.cosmetics,,,
menu.cosmetics.desc,,,
menu.decor,,,
menu.decorations,,,
menu.decorations.desc,,,
menu.dev,,,
menu.dev.desc,,,
menu.devices,,,
menu.devices.desc,,,
menu.dirt,Vuil,,
menu.dirt.desc,Produceer vuil stickers,,
menu.doors,Deuren,,
menu.doors.desc,Deuren en luchtsluizen,,
menu.eggs,Eieren,,
menu.eggs.desc,Produceer een ei,,
menu.elysium,Elysium,,
menu.elysium.desc,Toevoegingen voor uw Elysium,,
menu.energy,Elektriciteit,,
menu.energy.desc,Elektrische Apparaten,,
menu.equipment,Gereedschap,,
menu.equipment.desc,Produceer Gereedschap,,
menu.exit,Verlaten,,
menu.exit.desc,Verlaten naar Hoofdmenu,,
menu.exit.os,Verlaten naar Desktop,,
menu.exit.os.desc,Automatisch bewaren en spel verlaten,,
menu.facilities,,,
menu.facilities.desc,,,
menu.floorlit,Verlichte Vloeren,,
menu.floorlit.desc,Vloeren met ingebouwde verlichting,,
menu.floorregular,,,
menu.floorregular.desc,,,
menu.floorreinforced,,,
menu.floorreinforced.desc,,,
menu.floors,Vloeren,,
menu.floors.desc,,,
menu.floorspecial,,,
menu.floorspecial.desc,,,
menu.food,Voeding,2023-08-05,"best to keep it short, as it cannot fit horizontally if too long"
menu.food.desc,,,
menu.furniture,Meubilair,,
menu.furniture.desc,,,
menu.fx,Vuil,,
menu.game.continue,Verder,,
menu.game.load,Spel laden,,
menu.game.name,Scheepsnaam,,
menu.game.name.enter,Scheepsnaam…,,
menu.game.new,Nieuw Spel,,
menu.game.settings,Spelconfiguratie,,
menu.game.settings.desc,Configuratie betreffende het huidige spel,,
menu.global.settings,,,
menu.global.settings.desc,,,
menu.hats,Hoeden,,
menu.hats.desc,,,
menu.headgear,,,
menu.main,Hoofdmenu,,
menu.main.tooltip,Gebruik TAB om te zoeken naar elementen in dit menu,,
menu.materials,Materialen,,
menu.materials.desc,Diverse materialen,,
menu.meals,Maaltijden,,
menu.meals.desc,,,
menu.misc,Diverse,,
menu.misc.desc,,,
menu.mods,,,
menu.obj,,,
menu.obj.desc,,,
menu.objects,,,
menu.objects.desc,,,
menu.plants,Planten,,
menu.plants.desc,,,
menu.press.any.key,,,
menu.production,,,
menu.production.desc,,,
menu.projectiles,,,
menu.save,Bewaar,,
menu.save.desc,Bewaar het spel,,
menu.security,Veiligheid,,
menu.security.desc,,,
menu.settings,Instellingen,,
menu.settings.audio,Geluid,,
menu.settings.audio.desc,Wijzig geluidsinstellingen,,
menu.settings.current_game,,,
menu.settings.desc,,,
menu.settings.gameplay,Gameplay,,
menu.settings.input,,,
menu.settings.language,Taal,,Do not translate this please!
menu.settings.video,Beeld,,
menu.settings.video.desc,Wijzig beeldinstellingen,,
menu.shuttles,,,
menu.shuttles.desc,,,
menu.spacetravel,,,
menu.spacetravel.desc,,,
menu.special,,,
menu.special.desc,,,
menu.structure,,,
menu.structure.desc,,,
menu.tables,Tafels,,
menu.tables.desc,,,
menu.upgrades,Uitbreidingen,,
menu.upgrades.desc,,,
menu.walls,Muren,,
menu.walls.desc,,,
menu.weapons,Wapens,,
menu.weapons.desc,Handwapens,,
merchant.beacon,,,
merchant.beacon.success,,,"Displayed in event notification, after the Merchant Beacon device has successfully hailed a merchant. Then if we click this event notification, we will see what type of merchant is going to arrive."
merchant.offering.trade,,,
merchant.ship,,,
merchant.ship.offering.trade,,,
merchant.type.MerchantAlloy,,,
merchant.type.MerchantBuilding,,,
merchant.type.MerchantGeneral,,,
merchant.type.MerchantOil,,,
merchant.type.MerchantOre,,,
merchant.type.MerchantRobotics,,,
merchant.type.MerchantSlaver,,,
merchant.type.MerchantUpgrades,,,
merchant.type.MerchantWeapon,,,
merchants.wallet,,,
meteor,Meteoroïde,,
meteor.impact,,,
meteor.incoming,,,
meteor.shower.avoided,"Goed nieuws, iedereen. We hebben een meteorenregen vermeden!",,
mining.currency,Delven {0},,
mining.orders,Delf Opdrachten,,
missing,Ontbrekend,,
missing.airlock,Ontbrekende luchtsluis,,
missing.airlock.desc,,,
ml.booth.bar,,,"{0} will be skill name, {1:0.00} will show the level with fraction. Example: ""Training Construction: 3.45"""
mod.disabled,Mod Uitgeschakeld,,
mod.enabled,Mod Ingeschakeld,,
mod.version,Mod Versie: {0},,
modifier.MapSize,Kaart Grootte [{0}x{0}],,
modifier.MapSize.desc,Bepaalt de grootte van de omgeving waarbinnen je kan bouwen. Grotere kaarten kunnen een negatieve invloed hebben op de performantie.,,
modifier.NoCombat,,,
modifier.NoCombat.desc,,,
modifier.NoDeviceWear,,,
modifier.NoDeviceWear.desc,,,
modifier.NoPause,Geen Pauze,,
modifier.NoPause.desc,,,
modifier.NoReload,Niet Herladen (Permadeath),,
modifier.NoReload.desc,,,
modifier.NoTutorialQuests,,,
modifier.NoTutorialQuests.desc,,2022-10-08,"Removed comment about locking research nodes, it doesn't do that anymore"
modifier.ResourceMul,,,
modifier.ResourceMul.desc,,2023-05-10,
modifier.ShipSize,,,
modifier.ShipSize.desc,,,
modifiers,,,"A label for options that modify the gameplay. You select the modifiers you want to start your game with in ""new game"" menu. Modifiers will be options like ""Difficulty level"", ""Disable combat"", etc."
month,Maand,,
mood,Stemming,,
mood.trend,Stemming: {0},,
move.near.pos,,,
move.to.obj,,,
move.to.pos,,,
multiple.nodes,,,
multiple.selection,,,
my.birthday,Mijn verjaardag,,
naked,Naakt,,
nav.arrived,Stilstand,,
nav.fail.being.dead,Werker is dood,,
nav.fail.being.immobilized,Geïmmobiliseerd,,
nav.fail.last.nav.not.done,,,
nav.fail.object.blocked.by.adjacent,,,
nav.fail.target.unavailable,,,
nav.fail.unreachable.flying,,,
nav.fail.unreachable.grounded,,,
nav.failed,,,
nav.flying,,,
nav.grounded,Heeft een vloer nodig om te wandelen,,
nav.immobilized,,,
nav.moving,,,
nav.waiting,Pad berekenen naar {0},,
navigation,Navigatie,,
nebula.opt,Kwaliteit van Ruimtenevels,,
nebula.opt.off,Uit,,
nebula.opt.realtime,,2023-03-04,
nebula.opt.optimized,,2023-03-04,
nebula.opt.static,Statisch,2023-03-04,
nebula.opt.tip,,2023-03-04,
need.Aesthetics,,,
need.Aesthetics.info,,,
need.Electricity,Elektriciteit,,
need.Electricity.info,,,
need.Fun,,,
need.Fun.info,,,
need.Hunger,,,
need.Hunger.info,,,
need.Maintenance,,,
need.Maintenance.info,Robots en drones hebben regelmatig onderhoud nodig voor een vlotte werking. Bouw een Reparatiestation om deze nood in te vullen.,,
need.None,Niets nodig,,
need.Oxygen,Zuurstof,,
need.Oxygen.info,Dit wezen heeft voldoende zuurstof nodig om te overleven.,,
need.Purpose,Doel,,
need.Purpose.info,,,
need.Reproduction,,,
need.Rest,Rust,,
need.Rest.info,,,
need.Safety,,,
need.Sanity,Geestelijke Gezondheid,,
need.Shower,Douche,,
need.Shower.info,"Als een wezen vuil wordt, wil het een douche gebruiken.",,
need.Sleep,Slaap,,
need.Sleep.info,,,
need.Social,Sociaal,,
need.Stress,Stress,,
need.Stress.info,,,
need.Toilet,Toilet,,
need.Toilet.info,"Als de behoefte om naar het toilet te gaan gering is, zal dit wezen een toilet willen opzoeken.",,
needs,Benodigdheden,,"Noun. Displayed on a button that will show the list of being's needs (i.e Hunger, Sleep, etc)"
needs.reload,Herladen nodig,,
net.worth,Netto Waarde,,
new.update,Nieuwe update!,,
new.update.note,Laatst gespeeld: <b>{0} ({1})</b><br>Updated tot: <b>{2} ({3})</b><br><br>Er zijn <b><color={4}>{5} nieuwe wijzigingen</color></b>.,2022-08-16,Removed commas at the end of version numbers
next,Volgende,,
next.wake.up,Volgende Wakker,,
nickname,Bijnaam,,
no,Nee,,
no.access.to.starmap,,2022-08-01,
no.active.combat,,,
no.available.teleporter,,,
no.blueprints,,,
no.blueprints.help,,,
no.chair.in.work.spot,,,
no.coffee,,,
no.compute.shaders,,,
no.compute.shaders.info,,2022-07-04,
no.data,,,
no.destination,Geen Bestemming,,
no.energy.source,Geen Energiebron,,
no.force.fields,Krachtvelden niet beschikbaar,,
no.fuel,Geen Brandstof,,
no.internet,Geen Internet Connectie,,
no.internet.info,,2022-08-11,
no.items.available,,,
no.known.mats,,,
no.known.mats.info,,,
no.materials.available,,,
no.multiverse.tech,,,
no.plants.available,,,
no.projectile,,,
no.research,,,
no.saves,,,
no.saves.available,,,
no.saves.desc,,,
no.shower,Geen Douche,,
no.shuttles,,,
no.shuttles.desc,,,
no.socialize.partner,,,
no.target,Geen Bestemming,,
no.task,Geen Taak,,
no.task.reason.could.not.fly,,,"{0} will be count of tasks, a number (1 or bigger)"
no.task.reason.job.priority0,,2023-04-19,Displayed when showing a reason why the selected worker will not do some tasks. {0} will be count of tasks (a number).
no.task.reason.last.eval,,,
no.task.reason.no.skill,,,
no.task.reason.reluctant,,2022-12-04,"Last update added ""too tired"" as one of the reasons"
no.task.reason.total,,,
no.task.reason.unreachable.loc,,,
no.task.reason.unreachable.loc.mem,,,
no.task.reason.unreachable.mats.flying,,,
no.task.reason.unreachable.mats.grounded,,,
no.task.reason.unsafe,,,
no.task.reason.workable,,,
no.tasks.rason.clock.stopped,,,"The key contains mistype (rason instead of rason), but it is used with the mistype in game, it will remain like this to avoid changing all translation files"
no.terraform.controls,,,
no.terraform.target,,,
no.terraform.target.help,,,
no.terraformable,,,
no.terraformable.help,Je hebt nog geen terravormbare planeet gevonden. Bouw een telescoop en gebruik het om het observeerbare universum te doorzoeken voor potentiële bewoonbare planeten.,,
no.toilet,,,
no.upgrade,,,"A text placed in Upgrades UI of particular device. It means that it is possible to install upgrade to this slot, but there is no upgrade installed yet."
no.winch.anchor,,,
noisy.crowd,,,
non.controllable.worker,,,
not.achieved.yet,,,
not.available,,,
not.configured,,,
not.customizable.in.demo,,,
not.customizable.in.demo.storygen,,,
not.docked,,,
not.enclosed,,,
not.enough.ram,,,
not.enough.ram.info,,,
not.enough.storage,,,
not.enough.storage.info,,,
not.growing,,,
not.in.demo,,,
not.linked,,,
not.mining.currency,,,
not.petted.before,,,
not.powered,,,
not.processing,,,
not.ready,,,This refers to device that needs some preparation before it can be used
nothing.researched,,,
nothing.to.clean,,,
nothing.to.clean.info,,,
notify.on.discharge,,,
now.playing,,,"This is about music, {0} will be the song name"
now.processing,,,
nowhere.to.sleep,,,
obj.asteroids.asteroid01,,,
obj.asteroids.asteroid01.desc,,2022-03-19,
obj.asteroids.asteroid02,,,
obj.asteroids.asteroid02.desc,,2022-03-20,
obj.asteroids.asteroid03,,,
obj.asteroids.asteroid03.desc,,2022-03-21,
obj.asteroids.asteroidmega01,,,
obj.asteroids.asteroidmega01.desc,,,
obj.asteroids.asteroidmega02,,,
obj.asteroids.asteroidmega02.desc,,,
obj.asteroids.asteroidmega03,,,
obj.asteroids.asteroidmega03.desc,,,
obj.asteroids.meteor01,,,
obj.asteroids.meteor01.desc,,,
obj.containers.breachcapsuleflying,,,
obj.containers.breachcapsuleflying.desc,,,
obj.containers.probeflying,,,
obj.containers.probeflying.desc,,,
obj.containers.stasispodflying,,,
obj.containers.stasispodflying.desc,,,
obj.containers.storagecapsule,Opbergkoffer,,
obj.containers.storagecapsule.desc,,2023-08-31,
obj.eggs.egg01,,,
obj.eggs.egg01.desc,,,
obj.equipment.clothing.fclothing01,,,
obj.equipment.clothing.fclothing01.desc,,,
obj.equipment.clothing.fspacesuit01,,,
obj.equipment.clothing.fspacesuit01.desc,,2022-08-12,
obj.equipment.clothing.mclothing01,,,
obj.equipment.clothing.mclothing01.desc,,,
obj.equipment.clothing.mspacesuit01,,,
obj.equipment.clothing.mspacesuit01.desc,,2022-08-12,
obj.equipment.hats.ncrawler01,,,
obj.equipment.hats.ncrawler01.desc,,,
obj.equipment.hats.nhat01,,,
obj.equipment.hats.nhat01.desc,,,
obj.equipment.hats.nspacehelmet01,,,
obj.equipment.hats.nspacehelmet01.desc,,,
obj.equipment.weapons.energyrifle01,,,
obj.equipment.weapons.energyrifle01.desc,,,
obj.materials.atmospheremix,,,
obj.materials.atmospheremix.desc,,,
obj.materials.batterycell,,,
obj.materials.batterycell.desc,,,
obj.materials.bioenrichedwater,Biologisch Verrijkt Water,,
obj.materials.bioenrichedwater.desc,Een materiaal dat wordt gebruikt bij terravorming van oceanen.,2022-09-23,
obj.materials.biowaste,,,
obj.materials.biowaste.desc,,,
obj.materials.carbon,Koolstof,,
obj.materials.carbon.desc,,2024-12-24,
obj.materials.carbonfiber,Koolstofvezel,,
obj.materials.carbonfiber.desc,,,
obj.materials.coal,Steenkool,,
obj.materials.coal.desc,,,
obj.materials.coffee,Koffie,,
obj.materials.coffee.desc,,,
obj.materials.coffeebeans,Koffiebonen,,
obj.materials.coffeebeans.desc,,,
obj.materials.copper,Koper,,
obj.materials.copper.desc,,,
obj.materials.copperplate,Koperplaat,,
obj.materials.copperplate.desc,,,
obj.materials.copperwire,Koperdraad,,
obj.materials.copperwire.desc,,,
obj.materials.crudeoil,Ruwe olie,,
obj.materials.crudeoil.desc,,,
obj.materials.flour,Meel,,
obj.materials.flour.desc,Ideaal voor het bakken van brood.,,
obj.materials.gears,Tandwielen,,
obj.materials.gears.desc,,,
obj.materials.glass,Glas,,
obj.materials.glass.desc,,,
obj.materials.grain,Graan,,
obj.materials.grain.desc,,,
obj.materials.iron,Ijzererts,,
obj.materials.iron.desc,Ijzererts wordt voornamelijk gebruikt voor de productie van staalplaten.,,
obj.materials.lithium,Lithium,,
obj.materials.lithium.desc,Essentieel ingrediënt voor batterijen.,,
obj.materials.log,Hout log,,
obj.materials.log.desc,,,
obj.materials.microchip,Microchip,,
obj.materials.microchip.desc,,,
obj.materials.multifertilizer,,,
obj.materials.multifertilizer.desc,,,
obj.materials.opticalfiber,Optische vezel,,
obj.materials.opticalfiber.desc,,,
obj.materials.organicturf,Organische Turf,,
obj.materials.organicturf.desc,,,
obj.materials.petroleum,Petroleum,,
obj.materials.petroleum.desc,"Een product van ruwe olie, dat gebruikt wordt bij de productie van andere grondstoffen zoals rubber of kunststof.",,
obj.materials.plantfiber,,,
obj.materials.plantfiber.desc,,,
obj.materials.plastic,Kunststof,,
obj.materials.plastic.desc,"Een hard synthetisch materiaal, dat veel gebruikt wordt bij de productie van elektronica en kleine apparaten.",,
obj.materials.protein,,,
obj.materials.protein.desc,,,
obj.materials.quartz,Kwarts,,
obj.materials.quartz.desc,Een veelvoorkomend mineraal dat gebruikt wordt voor de productie van glas.,,
obj.materials.rock,Steen,,
obj.materials.rock.desc,,2022-03-30,
obj.materials.rubber,Rubber,,
obj.materials.rubber.desc,,,
obj.materials.silicon,Silicium,,
obj.materials.silicon.desc,,,
obj.materials.soil,Aarde,,
obj.materials.soil.desc,,,
obj.materials.steel,Staalplaat,,
obj.materials.steel.desc,,,
obj.materials.titanium,,,
obj.materials.titanium.desc,,,
obj.materials.titaniumplate,,,
obj.materials.titaniumplate.desc,,,
obj.materials.transistor,,,
obj.materials.transistor.desc,,,
obj.materials.uranium,,,
obj.materials.uranium.desc,,,
obj.materials.water,,,
obj.materials.water.desc,,,
obj.materials.wood,,,
obj.materials.wood.desc,,,
obj.meals.bread,Brood,,
obj.meals.bread.desc,Smaakt naar thuis.,,
obj.meals.soyburger,Soya Burger,,
obj.meals.soyburger.desc,,,
obj.meals.survivalmeal,Overlevingspakket,,
obj.meals.survivalmeal.desc,,,
obj.misc.biowastebullet,Bio Afval Kogel,,
obj.misc.biowastebullet.desc,,,
obj.misc.c42,C42,,
obj.misc.c42.desc,Een moderne opvolger van het klassieke C4-explosief dat op de oude aarde veelvuldig door het leger werd gebruikt.,,
obj.misc.energybullet,,,
obj.misc.energybullet.desc,,,
obj.misc.waterbullet,Water Kogel,,
obj.misc.waterbullet.desc,Werkt uitstekend wanneer je een brand moet blussen of lichte schade moet toebrengen aan een vijandig wezen.,,
obj.plants.coffeetree,Koffieplant,,
obj.plants.coffeetree.desc,,,
obj.plants.oak,Eik,,
obj.plants.oak.desc,,,
obj.plants.wheat,,,
obj.plants.wheat.desc,,,
obj.shuttles.shuttleflying,,,
obj.shuttles.shuttleflying.desc,,,
obj.upgrades.asimovoverrideupgrade,,,
obj.upgrades.asimovoverrideupgrade.desc,,,
obj.upgrades.autoconnectupgrade,Auto Connecteer Uitbreiding,,
obj.upgrades.autoconnectupgrade.desc,,,
obj.upgrades.diskcompressionupgrade,Schijf Compressie Uitbreiding,,
obj.upgrades.diskcompressionupgrade.desc,,,
obj.upgrades.memorycompressionupgrade,Geheugen Compressie Uitbreiding,,
obj.upgrades.memorycompressionupgrade.desc,,,
,,,
,,,
obj.upgrades.reactorefficiencyupgrade,,,
obj.upgrades.reactorefficiencyupgrade.desc,,,
obj.upgrades.shuttlestorageupgrade,,,
obj.upgrades.shuttlestorageupgrade.desc,,,
obj.upgrades.starcredsminingupgrade,,,
obj.upgrades.starcredsminingupgrade.desc,,,
object.in.unsafe.area,Object in onveilige zone,,
object.in.unsafe.area.desc,"Dit object is bedoeld om gebruikt te worden door levende wezens, maar bevindt zich in een gevaarlijke omgeving die niet bereikbaar is zonder ruimtepak. <br><br>Gebruik de Ruimtes, Temperatuur en Zuurstof Overzichten om dit probleem op te lossen.",,
object.no.longer.available,Object werd vernield,,
objects,Objecten,,
objects.cosmetics.emblem1x1,Klein Embleem,,
objects.cosmetics.emblem1x1.desc,Je kunt je schip versieren met eigen emblemen.,,
objects.cosmetics.emblem2x2,Middelgroot Embleem,,
objects.cosmetics.emblem2x2.desc,Je kunt je schip versieren met eigen emblemen.,,
objects.cosmetics.emblem3x3,Groot Embleem,,
objects.cosmetics.emblem3x3.desc,Je kunt je schip versieren met eigen emblemen.,,
objects.devices.assembler,Assemblagemachine,,
objects.devices.assembler.desc,Een universeel assemblageapparaat voor het maken van voorwerpen uit grondstoffen. Vereist aanvullend onderzoek om blauwdrukken te ontgrendelen.,,
objects.devices.autodoc,AutoDokter,,
objects.devices.autodoc.desc,Een geavanceerde medische capsule die microchirurgie kan uitvoeren en diverse gezondheidsproblemen kan behandelen.,,
objects.devices.autokitchen,AutoFornuis,,
objects.devices.autokitchen.desc,Produceert voedsel voor uw kolonisten.,,
objects.devices.battery,Batterij ({0}kW),,
objects.devices.battery.desc,Een gewone batterij voor het opslaan van energie. Kan tot {0}kW produceren.,,
objects.devices.battery2,Batterij ({0}kW),,
objects.devices.battery2.desc,Een grote batterij voor het opslaan van energie. Kan tot {0}kW produceren.,,
objects.devices.battery3,Nucleaire Batterij ({0}kW),,
objects.devices.battery3.desc,Een gigantisch nucleaire batterij voor het opslaan van energie. Kan tot {0}kW produceren.,,
objects.devices.betawavetransceiver,Bètagolf Ontvanger,,
objects.devices.betawavetransceiver.desc,"Wanneer dit apparaat is geactiveerd, kunt u biologische wezens beïnvloeden door hun werkprioriteiten te veranderen en hen directe opdrachten te geven.",,
objects.devices.beveragecooler,Drank Koeler,,
objects.devices.beveragecooler.desc,Opslag voor dranken.,,
objects.devices.breachcapsule,Inbreukcapsule,,
objects.devices.breachcapsule.desc,Oei. Het lijkt erop dat er een inval op handen is!,,
objects.devices.bridgecontrols,Brug Bediening,,
objects.devices.bridgecontrols.desc,Een apparaat dat toegang geeft tot de sterrenkaart en ruimtereizen mogelijk maakt. Kan worden uitgebreid met een automatische pilootfunctie.,2022-12-22,
objects.devices.chargestation,Laadstation,,
objects.devices.chargestation.desc,"Een plek waar je robots en drones kunnen opladen. Het is aan te raden er meer dan één te hebben. Als je medewerkers steeds aan elektriciteit denken, heb je er waarschijnlijk meer nodig.",,
objects.devices.cleaningbotdock,,,
objects.devices.cleaningbotdock.desc,,,
objects.devices.cloningpod,,,
objects.devices.cloningpod.desc,,,
objects.devices.coffeemaker,Koffiemachine,,
objects.devices.coffeemaker.desc,"Laad enkele koffiebonen, en het zal een heerlijk kopje koffie voor je maken.",,
objects.devices.communicator,Communicatie Apparaat,,
objects.devices.communicator.desc,Biedt de mogelijkheid om met andere ruimteschepen te communiceren.,,
objects.devices.converter,,,
objects.devices.converter.desc,,,
objects.devices.cookingstation,Fornuis,,
objects.devices.cookingstation.desc,,,
objects.devices.cpumodulemini,,2022-03-31,
objects.devices.cpumodulemini.desc,,2025-09-08,
objects.devices.craftingstation,,,
objects.devices.craftingstation.desc,,,
objects.devices.directionalturret,,,
objects.devices.directionalturret.desc,,2022-11-15,
objects.devices.disassembler,,,
objects.devices.disassembler.desc,,,
objects.devices.diskmodule,,,
objects.devices.diskmodule.desc,,,
objects.devices.diskmodulemini,,,
objects.devices.diskmodulemini.desc,,,
objects.devices.emergencysiren,Noodsirene,,
objects.devices.emergencysiren.desc,Activeer de Noodsirene om iedereen naar de ruimte te brengen waar ze staat. Ideaal om een paniekruimte te maken.,,
objects.devices.energyconnector,,,"{0} is capacity (number of slots), {1} is range (how far it can reach). Both are numeric values. It will be like ""Connector 8-24""."
objects.devices.energyconnector.desc,,,
objects.devices.energyconnectorbig,,,"{0} is capacity (number of slots), {1} is range (how far it can reach). Both are numeric values. It will be like ""Connector 8-24""."
objects.devices.energyconnectorbig.desc,,,
objects.devices.fabricator,,,
objects.devices.fabricator.desc,,,
objects.devices.floorsocket,,,"{0} is capacity (number of slots), {1} is range (how far it can reach). Both are numeric values. It will be like ""Floor Socket 8-24""."
objects.devices.floorsocket.desc,,,"{0} is a number of slots, {1} is a number that shows how far the connector can reach. There is no unit of measurement, it is refering to number of tiles on the game grid."
objects.devices.fluidcannon,,,
objects.devices.fluidcannon.desc,,,
objects.devices.fridge,,,
objects.devices.fridge.desc,,2022-06-15,
objects.devices.ftldrive,,,
objects.devices.ftldrive.desc,,,
objects.devices.furnace,Oven,,
objects.devices.furnace.desc,Hoogoven voor het smelten van metaalertsen tot bruikbare materialen.,,
objects.devices.fusiondrive,Fusieraket,,
objects.devices.fusiondrive.desc,"Een fusie-aandrijvingsmotor, aangedreven door elektriciteit. Noodzakelijk voor reizen tussen verschillende sterrenstelsels.",2022-01-07,
objects.devices.grinder,,,
objects.devices.grinder.desc,,,
objects.devices.heater,,,
objects.devices.heater.desc,,,
objects.devices.heatermini,,,
objects.devices.heatermini.desc,,,
objects.devices.heatsink,,,
objects.devices.heatsink.desc,,2022-11-14,"Example of diminishing effect: Having 1 heatsink will reduce by 30%, having 2 will reduce by 50%, having 3 will reduce by 60%, having 10 will reduce by 70%. "
